original name,filename,isTarget,isOverlap,url,imageID
2014 Lindow 10.1109/TVCG.2014.2346404 c 3.png,sci1726.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1726.png,I82
2015 Ai-Awami 10.1109/TVCG.2015.2467441 c 1.png,sci1792.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1792.png,I83
2015 Berge 10.1109/SciVis.2015.7429489 c 2.png,sci1801.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1801.png,I84
2015 Lawonn 10.1109/TVCG.2015.2467961 c 13.png,sci1924.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1924.png,I85
2015 Lawonn 10.1109/TVCG.2015.2467961 c 5.png,sci1928.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1928.png,I86
2015 Lawonn 10.1109/TVCG.2015.2467961 c 8.png,sci1931.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1931.png,I87
2015 Marino 10.1109/TVCG.2015.2467413 c 3.png,sci1939.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1939.png,I88
2015 Marino 10.1109/TVCG.2015.2467413 c 9.png,sci1944.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1944.png,I89
2015 Weiss 10.1109/TVCG.2015.2467412 c 1.png,sci2011.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2011.png,I90
2016 Jönsson 10.1109/TVCG.2016.2598430 c 3.png,sci2100.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2100.png,I91
2016 Meuschke 10.1109/TVCG.2016.2598795 c 3.png,sci2121.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2121.png,I92
2016 Nadeem 10.1109/TVCG.2016.2598791 c 7.png,sci2131.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2131.png,I93
2016 Smit 10.1109/TVCG.2016.2598826 c 1.png,sci2166.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2166.png,I94
2017 Bock 10.1109/TVCG.2017.2743980 c 2.png,sci2226.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2226.png,I95
2017 Hadwiger 10.1109/TVCG.2017.2744238 c 5.png,sci2238.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2238.png,I96
2017 Klein 10.1109/TVCG.2017.2744258 c 10.png,sci2266.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2266.png,I97
2017 Klein 10.1109/TVCG.2017.2744258 c 11.png,sci2267.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2267.png,I98
2017 Klein 10.1109/TVCG.2017.2744258 c 12.png,sci2268.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2268.png,I99
2017 Klein 10.1109/TVCG.2017.2744258 c 3.png,sci2274.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2274.png,I100
2017 Mindek 10.1109/TVCG.2017.2744518 c 1.png,sci2291.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2291.png,I101
2017 Mindek 10.1109/TVCG.2017.2744518 c 8.png,sci2302.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2302.png,I102
2017 Mohammed 10.1109/TVCG.2017.2744278 c 2.png,sci2311.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2311.png,I103
2017 Quan 10.1109/TVCG.2017.2744078 c 1.png,sci2319.png,1,1,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2319.png,I104
